Time (h),ODa
0:00,0
1:00,17.5
2:00,18.8
3:00,19.9
4:00,20.7
5:00,21.8
6:00,22.3
7:00,23.1
8:00,23.7
9:00,24.4
10:00,25.3
11:00,26.3
12:00,27.4
13:00,28.2
14:00,29.2
15:00,30.1
16:00,31.2
17:00,32.3
18:00,33.7
19:00,35
20:00,36.3
21:00,37.8
22:00,39.3
23:00,40.9
24:00,42.8
25:00,44.6
26:00,46.9
27:00,49
28:00,51.6
29:00,54.2
30:00,57.2
31:00,60.2
32:00,63.2
33:00,67
34:00,70.6
35:00,74.3
36:00,78.4
37:00,82.4
38:00,86.9
39:00,92.2
40:00,97.2
41:00,103.2
42:00,108.8
43:00,115.1
44:00,120.9
45:00,128.3
46:00,135.6
47:00,141.5
48:00,150.9
49:00,160.2
50:00,167.2
51:00,177.1
52:00,188.4
53:00,201.2
54:00,208.3
55:00,220.1
56:00,233.2
57:00,246.1
58:00,259.9
59:00,278.2
60:00,278
61:00,296.9
62:00,317.6
63:00,339.5
64:00,369.5
65:00,390.5
66:00,404
67:00,416.8
68:00,431.5
69:00,444
70:00,458.7
71:00,476.8
72:00,480
73:00,500.5
74:00,514.4
75:00,523.1
76:00,536.1
77:00,549
78:00,558.7
79:00,563.8
80:00,576.6
81:00,583.9
82:00,600.7
83:00,610.8
84:00,616.6
85:00,621
86:00,628.8
87:00,634.1
88:00,639.9
89:00,654
90:00,656.7
91:00,670
92:00,676
93:00,689.7
94:00,697.2
95:00,715.4
96:00,718.3
97:00,727.3
98:00,740.2
99:00,748.6
100:00,747.9
101:00,749.7
102:00,749.9
103:00,749
104:00,756.2
105:00,764.2
106:00,776.3
107:00,786.2
108:00,777.5
109:00,794.6
110:00,794.7
111:00,795.9
112:00,809.7
113:00,808.5
114:00,814.4
115:00,819.5
116:00,830.7
117:00,830.2
118:00,842.8
119:00,843.3
120:00,852.2
121:00,853.7
122:00,864.9
123:00,868.7
124:00,884.1
125:00,889.5
126:00,904.2
127:00,905.9
128:00,917.9
129:00,922.1
130:00,921.2
131:00,929.9
132:00,941.2
133:00,956.2
134:00,954.5
135:00,957.4
136:00,969.6
137:00,981.9
138:00,979.9
139:00,992.3
140:00,998.9
141:00,1007.4
142:00,1016.6
143:00,1015.6
144:00,1026.2
145:00,1037.1
146:00,1043.8
147:00,1056.2
148:00,1055.5
149:00,1066.3
150:00,1071.2
151:00,1081.7
152:00,1084.5
153:00,1094.8
154:00,1100.6
155:00,1107.8
156:00,1109.6
157:00,1123.9
158:00,1135.6
159:00,1141.9
160:00,1146.8
161:00,1156.3
162:00,1163.2
163:00,1167.6
164:00,1182.9
165:00,1190.9
166:00,1191.7
167:00,1196.3
168:00,1200.9
169:00,1204.7
170:00,1213.5
